CTOPP.rdn.raw,CTOPP.rdn.ss.4,CTOPP.rdn.p.4,CTOPP.rdn.ss.4.4,CTOPP.rdn.p.4.4,CTOPP.rdn.ss.4.8,CTOPP.rdn.p.4.8,CTOPP.rdn.ss.5,CTOPP.rdn.p.5,CTOPP.rdn.ss.5.6,CTOPP.rdn.p.5.6,CTOPP.rdn.ss.6,CTOPP.rdn.p.6,CTOPP.rdn.ss.6.6,CTOPP.rdn.p.6.6,CTOPP.rdn.ss.7,CTOPP.rdn.p.7,CTOPP.rdn.ss.7.6,CTOPP.rdn.p.7.6,CTOPP.rdn.ss.8,CTOPP.rdn.p.8,CTOPP.rdn.ss.9,CTOPP.rdn.p.9,CTOPP.rdn.ss.10,CTOPP.rdn.p.10,CTOPP.rdn.ss.11,CTOPP.rdn.p.11,CTOPP.rdn.ss.12,CTOPP.rdn.p.12,CTOPP.rdn.ss.13,CTOPP.rdn.p.13,CTOPP.rdn.ss.14,CTOPP.rdn.p.14,CTOPP.rdn.ss.15,CTOPP.rdn.p.15
13,17,99,16,98,15,95,15,95,15,95,15,95,15,95,15,95,14,91,14,91,13,84,12,75,11,63,10,50,10,50,9,37,9,37
12,18,>99,17,99,16,98,15,95,15,95,15,95,15,95,15,95,15,95,14,91,14,91,13,84,12,75,11,63,11,63,10,50,10,50
11,18,>99,17,99,16,98,16,98,16,98,15,95,15,95,15,95,15,95,15,95,14,91,14,91,13,84,12,75,12,75,11,63,11,63
10,19,>99,18,>99,17,99,17,99,16,98,16,98,16,96,16,98,16,98,15,95,15,95,14,91,14,91,13,84,13,84,12,75,12,75
9,20,>99,19,>99,18,>99,18,>99,17,99,17,99,17,99,16,98,16,98,16,98,16,98,15,95,15,95,14,91,14,91,13,84,13,84
8,20,>99,20,>99,19,>99,19,>99,18,>99,18,>99,18,>99,17,99,17,99,17,99,17,99,16,98,16,98,15,95,15,95,14,91,14,91
7,20,>99,20,>99,20,>99,19,>99,19,>99,19,>99,19,>99,18,>99,18,>99,18,>99,18,>99,17,99,17,99,16,98,16,98,15,95,15,95
6,20,>99,20,>99,20,>99,20,>99,20,>99,20,>99,20,>99,19,>99,19,>99,19,>99,19,>99,18,99,18,>99,17,99,17,99,16,98,16,98
5,-,-,-,-,-,-,-,-,-,-,-,-,-,-,20,>99,20,>99,20,>99,20,>99,19,99,19,>99,18,>99,18,>99,17,99,17,99
N/A,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
